num_acc,mois,jour,lum,agg,int,col,com,dep,hr,mn,catv,choc,manv,place,catu,grav,trajet,an_nais,catr,circ,nbv,prof,plan,lartpc,larrout,situ
201500039562,10,1,3,2,6,2.0,788,340,0,15,99,0.0,24.0,2,3,2,9.0,1991,2,2.0,-1,1.0,4.0,52,168,4.0
201900052554,12,25,5,1,0,7.0,716,16,15,45,3,9.0,5.0,6,3,2,4.0,2007,3,2.0,30,1.0,2.0,107,123,6.0
201300027998,2,6,5,1,2,3.0,621,500,14,21,16,6.0,25.0,9,2,1,0.0,1982,2,2.0,20,1.0,2.0,21,143,5.0
201500002458,9,21,3,1,7,5.0,50402,202,12,35,0,2.0,22.0,5,2,1,3.0,1914,2,0.0,16,3.0,0.0,137,224,1.0
201200044111,12,25,5,2,5,6.0,80,400,15,45,5,4.0,21.0,10,3,2,9.0,1975,4,2.0,13,3.0,4.0,115,254,5.0
200700035705,8,14,5,2,5,7.0,77118,400,20,43,11,8.0,19.0,3,3,1,5.0,1992,7,4.0,13,1.0,2.0,48,109,1.0
201400020719,10,25,5,2,8,4.0,339,460,10,5,18,2.0,21.0,2,3,3,9.0,2013,9,2.0,10,1.0,0.0,48,105,0.0
201200021047,10,5,5,2,5,5.0,519,180,22,0,16,2.0,0.0,9,3,3,2.0,1916,3,1.0,5,2.0,4.0,650,31,4.0
201000061642,10,2,5,2,0,6.0,682,32,14,57,31,4.0,20.0,0,1,3,2.0,1962,7,4.0,20,3.0,1.0,207,213,1.0
201600023352,8,8,5,1,5,4.0,37,24,21,25,8,7.0,21.0,4,3,2,5.0,1956,2,0.0,0,1.0,2.0,104,713,8.0
200700034591,10,13,4,1,0,1.0,704,52,20,35,39,0.0,15.0,1,2,2,3.0,1972,7,2.0,1,4.0,2.0,74,68,1.0
200900012014,3,1,5,1,0,2.0,37027,51,10,25,15,7.0,24.0,0,3,2,9.0,1983,3,3.0,10,1.0,4.0,58,139,0.0
201800030800,9,25,3,2,8,2.0,393,930,16,35,14,0.0,7.0,7,1,2,2.0,1999,7,2.0,1,3.0,3.0,85,920,2.0
200500047923,10,16,5,1,2,6.0,418,490,23,53,5,2.0,26.0,3,1,2,4.0,1915,5,2.0,12,4.0,2.0,150,199,2.0
201100006778,12,30,3,2,0,6.0,93001,120,21,53,60,7.0,13.0,7,3,1,1.0,1967,2,2.0,16,4.0,0.0,173,76,0.0
201500058316,5,31,2,1,2,6.0,6029,250,13,34,30,0.0,9.0,6,1,3,0.0,1942,7,2.0,6,2.0,4.0,28,3,5.0
201700055966,2,4,5,2,2,7.0,141,80,17,25,35,0.0,22.0,0,2,3,4.0,1933,6,0.0,10,3.0,4.0,212,820,6.0
200700047076,10,26,5,2,0,7.0,86,91,0,34,7,0.0,12.0,0,2,1,4.0,1968,7,2.0,50,1.0,4.0,86,87,2.0
200900021546,6,16,5,1,8,1.0,91174,280,10,38,36,4.0,18.0,0,2,2,3.0,1917,2,2.0,40,4.0,3.0,50,139,6.0
201400039723,7,9,5,1,7,6.0,579,86,23,22,20,9.0,5.0,7,2,2,9.0,1955,6,1.0,36,1.0,0.0,180,216,6.0
201000029875,10,22,5,1,7,5.0,566,940,16,21,19,4.0,2.0,1,1,3,0.0,1992,9,2.0,1,4.0,0.0,165,104,3.0
201000016627,6,22,5,2,8,4.0,904,670,20,43,7,8.0,11.0,8,2,3,5.0,1943,1,2.0,0,2.0,3.0,110,355,3.0
200500030913,8,19,5,1,2,7.0,345,520,17,24,5,2.0,24.0,9,2,2,0.0,1914,1,2.0,9,0.0,3.0,24,166,6.0
201600049695,7,30,5,2,4,3.0,293,440,18,59,31,3.0,1.0,6,3,3,3.0,1909,7,3.0,8,0.0,3.0,153,-81,2.0
200800054989,2,27,4,2,1,1.0,97416,971,11,57,20,8.0,9.0,8,3,3,3.0,1901,9,2.0,10,4.0,4.0,340,510,8.0
200800053689,1,31,1,2,5,1.0,84007,170,13,30,31,1.0,8.0,1,1,1,4.0,1972,5,3.0,5,3.0,4.0,46,655,4.0
200500007655,4,18,5,1,4,3.0,117,230,22,57,35,5.0,17.0,8,3,1,5.0,1993,2,2.0,30,1.0,2.0,390,48,1.0
201800012045,10,20,5,2,7,4.0,26243,95,23,45,12,6.0,6.0,2,1,3,5.0,1924,3,2.0,30,2.0,4.0,364,490,5.0
201800020075,7,13,5,1,7,4.0,387,64,11,50,30,1.0,19.0,2,1,3,3.0,1944,6,2.0,6,3.0,0.0,39,430,0.0
201600012343,4,8,1,2,4,5.0,25462,680,11,33,2,0.0,20.0,10,1,2,4.0,1986,4,2.0,3,0.0,3.0,143,164,1.0
201800006302,9,29,5,2,0,2.0,59360,41,21,50,5,6.0,0.0,7,2,1,3.0,1932,6,2.0,3,3.0,3.0,400,400,0.0
201600024991,9,7,5,1,7,2.0,13015,380,20,33,39,5.0,23.0,10,1,3,3.0,2013,2,2.0,16,1.0,3.0,40,920,0.0
200800044330,11,26,1,1,9,2.0,32298,27,20,17,31,3.0,18.0,2,2,1,5.0,1970,5,2.0,26,3.0,4.0,94,770,3.0
201700051185,5,31,4,2,4,1.0,75112,750,20,36,38,0.0,5.0,5,3,3,0.0,1982,6,2.0,-1,0.0,0.0,600,30,4.0
200900003620,7,28,1,1,7,3.0,356,50,13,36,10,4.0,13.0,9,1,1,0.0,1945,3,2.0,20,3.0,0.0,800,430,3.0
200700040981,11,10,5,2,7,6.0,123,10,23,5,33,7.0,19.0,7,1,3,1.0,2009,2,2.0,2,3.0,3.0,134,205,4.0
200800055394,11,4,5,1,5,6.0,694,48,14,55,30,1.0,14.0,2,2,3,0.0,2016,4,2.0,13,2.0,3.0,84,231,8.0
200900015578,7,5,2,2,2,1.0,97,380,14,15,30,4.0,15.0,1,2,2,1.0,1964,9,2.0,14,4.0,0.0,45,58,3.0
200800037242,1,21,1,2,6,5.0,69387,15,16,11,13,6.0,23.0,1,3,3,3.0,1947,3,2.0,26,1.0,4.0,251,153,4.0
201700049564,4,3,5,2,0,2.0,611,680,21,17,16,6.0,12.0,9,1,3,2.0,1937,5,2.0,30,2.0,0.0,141,324,5.0
201600045475,4,5,1,2,0,5.0,2168,94,16,5,19,5.0,10.0,3,3,1,9.0,1909,2,1.0,50,0.0,3.0,165,63,4.0
201600038360,5,28,5,2,5,4.0,428,20,13,45,7,0.0,7.0,6,2,1,2.0,1980,1,2.0,26,0.0,1.0,100,47,2.0
201700026304,4,11,5,2,8,1.0,112,8,23,8,8,9.0,13.0,9,3,2,2.0,2012,9,2.0,8,4.0,2.0,57,670,2.0
200900070835,9,8,2,2,7,1.0,45067,202,23,8,0,1.0,26.0,8,2,2,4.0,2019,3,2.0,13,3.0,1.0,216,247,1.0
200700077366,10,25,5,2,6,4.0,427,410,23,35,14,3.0,26.0,4,1,2,3.0,1960,5,4.0,36,1.0,0.0,14,781,3.0
201700036025,12,6,5,1,3,5.0,896,650,15,17,8,2.0,21.0,9,2,2,5.0,1928,3,1.0,0,3.0,2.0,77,282,3.0
201600036366,7,12,3,1,7,2.0,44180,973,16,34,99,8.0,16.0,4,3,1,9.0,2017,5,2.0,5,0.0,4.0,87,153,6.0
200900060545,1,22,1,1,9,3.0,83023,950,16,57,30,9.0,7.0,5,2,2,5.0,1976,4,1.0,7,1.0,2.0,1,156,5.0
201100035093,6,9,5,1,7,3.0,97410,680,16,5,80,1.0,21.0,8,3,3,3.0,2019,3,2.0,11,2.0,3.0,33,96,2.0
200800000376,9,28,1,2,8,6.0,197,600,0,40,6,7.0,8.0,0,1,1,0.0,1920,2,4.0,-1,3.0,3.0,118,94,1.0
201700046002,6,13,5,2,1,3.0,88,730,14,50,40,5.0,20.0,10,2,3,0.0,1985,4,2.0,1,4.0,1.0,46,145,2.0
200500035235,2,19,5,2,3,4.0,754,390,17,17,33,3.0,20.0,0,1,2,5.0,2008,3,2.0,10,3.0,3.0,250,4,3.0
200700014343,11,4,5,1,6,3.0,78283,350,0,15,20,9.0,12.0,2,1,1,3.0,1966,4,2.0,30,1.0,1.0,69,71,1.0
201200013026,7,22,4,1,8,5.0,176,88,12,21,33,4.0,19.0,0,3,2,0.0,1910,5,2.0,36,2.0,2.0,98,186,8.0
200800064411,1,1,5,1,1,4.0,57474,2,13,5,16,8.0,19.0,9,2,2,1.0,1928,3,2.0,8,1.0,2.0,310,123,0.0
201700011963,9,15,5,2,4,6.0,19005,430,18,36,50,8.0,17.0,5,1,3,1.0,1982,1,2.0,40,1.0,1.0,165,77,4.0
201300045817,3,25,5,2,1,5.0,426,600,21,41,13,0.0,22.0,8,2,2,3.0,1948,5,4.0,3,1.0,4.0,106,46,6.0
201000005969,8,30,5,1,3,4.0,50363,79,20,25,1,2.0,15.0,8,2,3,1.0,1995,1,2.0,10,1.0,1.0,250,515,2.0
201300010047,5,5,5,2,5,1.0,59111,300,20,35,43,9.0,8.0,10,3,2,4.0,1962,1,2.0,2,0.0,1.0,41,155,2.0
201000007386,11,18,5,2,7,3.0,397,7,10,11,16,8.0,13.0,8,3,2,5.0,2011,7,0.0,-1,0.0,2.0,94,30,0.0
201100065324,5,31,5,1,4,6.0,34111,240,19,11,36,9.0,14.0,7,3,1,1.0,1925,2,2.0,40,3.0,1.0,300,260,8.0
201100019670,3,11,5,1,2,2.0,61,360,23,20,31,4.0,23.0,4,3,2,2.0,1912,3,3.0,40,0.0,0.0,68,13,1.0
200700065183,12,3,5,2,8,3.0,529,93,16,34,30,3.0,7.0,3,3,1,1.0,2015,2,2.0,40,0.0,1.0,600,95,4.0
200500013818,8,8,5,2,6,7.0,62718,930,17,50,36,9.0,15.0,5,2,1,2.0,1987,5,4.0,8,3.0,0.0,197,81,6.0
200500072360,4,27,5,1,5,3.0,106,22,16,22,1,4.0,17.0,0,1,2,5.0,1924,4,2.0,16,4.0,4.0,350,0,6.0
201900056722,3,29,5,1,6,2.0,580,790,19,43,31,0.0,20.0,7,1,2,2.0,1977,7,2.0,20,3.0,1.0,279,375,8.0
201000058478,4,19,4,2,7,2.0,453,170,15,41,38,5.0,21.0,8,3,2,3.0,1944,7,3.0,-1,0.0,2.0,14,69,8.0
200900038314,5,2,5,1,8,3.0,93064,75,21,36,38,3.0,19.0,3,2,3,1.0,1953,6,2.0,2,3.0,4.0,115,235,2.0
201200055129,2,14,5,2,0,4.0,45067,1001,16,38,99,4.0,5.0,7,3,3,4.0,1957,7,2.0,50,1.0,1.0,59,174,4.0
201200044337,6,31,5,2,2,3.0,442,22,16,55,99,4.0,9.0,5,2,2,4.0,1985,3,1.0,26,0.0,3.0,33,500,0.0
200800065051,12,6,5,1,9,2.0,57038,770,14,15,50,1.0,4.0,2,2,1,3.0,1919,4,2.0,16,4.0,4.0,40,365,0.0
200600036143,1,3,5,1,5,5.0,85303,49,22,50,80,8.0,21.0,4,1,3,5.0,1900,6,2.0,10,4.0,0.0,68,940,1.0
200500070347,1,6,4,1,6,4.0,85191,61,23,25,36,3.0,13.0,6,3,3,0.0,2011,6,2.0,13,2.0,3.0,113,313,3.0
201200050845,4,25,1,1,7,3.0,344,971,18,0,11,2.0,0.0,3,1,2,4.0,1996,9,2.0,8,3.0,4.0,105,202,4.0
201000059640,11,8,5,1,5,2.0,31149,40,19,59,0,0.0,21.0,10,1,3,3.0,1929,3,0.0,1,3.0,2.0,165,123,2.0
200600050110,12,23,5,2,5,7.0,197,270,22,57,13,7.0,24.0,3,2,1,5.0,1958,4,2.0,40,2.0,2.0,28,760,1.0
201400048737,6,9,5,1,1,5.0,60105,3,21,53,13,8.0,2.0,0,2,2,1.0,1943,5,3.0,4,4.0,1.0,192,46,1.0
201500014681,5,15,2,2,9,2.0,753,380,11,43,21,5.0,22.0,10,1,3,2.0,1995,7,4.0,36,2.0,0.0,71,135,5.0
