num_acc,mois,jour,lum,agg,int,atm,col,com,dep,hr,mn,catv,choc,manv,num_veh,place,catu,grav,sexe,trajet,an_nais,annee,catr,circ,nbv,prof,plan,lartpc,larrout,surf,situ
201200035939,8,4,2,2,3,1.0,3.0,224,680,0,0,7,3.0,15.0,A01,5,2,1,2,0.0,2004,2012,4,2.0,2,1.0,1.0,0,0,1.0,1.0
200800009170,2,16,5,2,1,1.0,6.0,482,670,0,0,7,9.0,1.0,A01,1,1,1,1,0.0,1986,2008,4,2.0,3,1.0,3.0,0,120,1.0,3.0
201200035608,6,27,1,2,2,1.0,4.0,43,670,0,0,10,4.0,23.0,A01,2,2,1,1,4.0,1990,2012,4,2.0,2,2.0,1.0,0,0,1.0,1.0
201300050231,7,7,1,2,1,1.0,7.0,101,750,0,0,30,1.0,1.0,A01,1,1,1,1,0.0,1996,2013,4,1.0,6,1.0,1.0,3,100,1.0,1.0
200600066115,11,14,1,2,1,1.0,2.0,28,130,0,0,7,4.0,23.0,B01,3,2,1,1,0.0,1975,2006,4,2.0,2,2.0,1.0,0,67,1.0,1.0
201800000308,10,18,3,1,1,2.0,2.0,45,600,0,0,7,4.0,1.0,B01,1,1,1,1,1.0,1979,2018,3,2.0,2,1.0,1.0,0,0,2.0,1.0
200900053837,9,18,1,1,1,1.0,2.0,47,920,0,0,7,1.0,2.0,A01,1,1,1,1,5.0,1928,2009,1,1.0,3,1.0,1.0,5,35,1.0,1.0
201400048614,3,24,3,1,1,1.0,6.0,312,910,0,0,7,0.0,1.0,A01,1,1,1,1,0.0,1983,2014,2,2.0,2,1.0,1.0,15,70,1.0,1.0
200700024149,4,25,1,2,2,1.0,3.0,62,920,0,0,7,2.0,15.0,A01,1,1,1,1,5.0,1974,2007,4,2.0,3,1.0,1.0,0,90,1.0,1.0
201600034847,9,29,5,2,2,1.0,3.0,329,790,0,0,7,1.0,16.0,A01,2,2,1,1,0.0,1992,2016,3,2.0,2,1.0,1.0,0,75,1.0,1.0
201400045255,11,17,1,2,1,1.0,6.0,68,940,0,0,38,1.0,1.0,A01,1,1,1,1,4.0,1954,2014,2,2.0,1,1.0,1.0,0,0,2.0,1.0
200900003458,1,21,5,2,1,1.0,6.0,50,830,0,0,7,3.0,4.0,A01,1,1,1,2,5.0,1945,2009,6,0.0,1,1.0,1.0,0,121,1.0,1.0
200600013338,3,1,2,2,1,4.0,4.0,17,750,0,0,5,4.0,2.0,A01,1,1,1,1,1.0,1966,2006,4,3.0,4,1.0,1.0,15,120,7.0,1.0
200900057731,10,20,1,2,9,1.0,3.0,209,130,0,0,7,2.0,1.0,A01,2,2,1,2,4.0,1958,2009,6,2.0,2,1.0,1.0,0,68,1.0,1.0
201500044754,7,15,1,1,1,1.0,5.0,17,940,0,0,7,5.0,1.0,B01,1,1,1,2,1.0,1965,2015,1,3.0,5,1.0,1.0,30,175,1.0,1.0
200900002177,1,17,5,2,1,1.0,6.0,310,30,0,0,7,1.0,13.0,A01,2,2,1,2,5.0,1990,2009,4,2.0,3,1.0,1.0,0,100,1.0,1.0
200800057388,10,2,5,2,1,2.0,6.0,300,170,0,0,30,7.0,1.0,B01,1,1,1,1,9.0,1990,2008,4,2.0,2,1.0,1.0,0,0,2.0,1.0
201000009646,12,23,3,1,1,2.0,5.0,402,550,0,0,7,3.0,1.0,C03,1,1,1,2,1.0,1965,2010,3,2.0,0,1.0,2.0,0,75,2.0,1.0
201100035769,12,23,1,2,1,2.0,1.0,470,590,0,0,7,8.0,1.0,B01,1,1,1,1,5.0,1965,2011,4,2.0,2,1.0,4.0,0,0,1.0,1.0
200900009177,6,19,1,2,1,1.0,6.0,118,750,0,0,10,2.0,1.0,A01,0,3,1,1,0.0,1979,2009,4,1.0,1,1.0,1.0,3,50,1.0,1.0
201500040422,11,1,5,2,1,1.0,6.0,29,930,0,0,7,7.0,21.0,A01,1,1,1,2,5.0,1981,2015,4,2.0,1,1.0,1.0,0,0,1.0,1.0
201500038791,2,20,1,2,1,2.0,6.0,50,920,0,0,7,0.0,0.0,A01,1,1,1,2,9.0,1986,2015,2,2.0,1,2.0,2.0,0,0,2.0,1.0
200600032809,6,13,1,2,1,1.0,3.0,55,130,0,0,7,5.0,0.0,A01,1,1,1,1,5.0,1933,2006,4,0.0,3,1.0,0.0,0,0,1.0,1.0
201200047190,12,10,5,2,2,2.0,3.0,41,940,0,0,7,1.0,1.0,A01,1,1,1,1,9.0,1967,2012,4,1.0,1,1.0,1.0,0,50,2.0,1.0
200500059703,9,2,5,2,2,1.0,3.0,14,750,0,0,7,2.0,15.0,A01,1,1,1,1,5.0,1965,2005,4,2.0,2,1.0,1.0,0,60,1.0,1.0
200700062857,10,18,1,2,2,1.0,6.0,57,260,0,0,7,1.0,9.0,A01,1,1,1,1,5.0,1983,2007,3,2.0,2,1.0,1.0,0,0,1.0,1.0
201900053029,6,11,1,2,1,8.0,6.0,13208,13,0,0,10,1.0,1.0,A01,10,3,1,1,2.0,2004,2019,4,2.0,2,1.0,1.0,0,0,1.0,1.0
201000017755,11,27,3,1,1,1.0,5.0,563,270,0,0,7,3.0,2.0,B02,1,1,1,1,5.0,1965,2010,1,1.0,2,2.0,1.0,95,10,1.0,1.0
201800038685,4,24,1,2,1,1.0,4.0,51,920,0,0,7,1.0,1.0,A01,1,1,1,1,0.0,1982,2018,4,1.0,2,1.0,1.0,0,0,1.0,1.0
201000000996,5,13,1,2,2,2.0,4.0,150,600,0,0,7,1.0,17.0,A01,2,2,1,2,5.0,1985,2010,3,2.0,2,1.0,1.0,0,70,2.0,1.0
201100045026,9,27,1,2,1,1.0,6.0,687,910,0,0,7,1.0,1.0,A01,1,1,1,2,0.0,1961,2011,2,2.0,6,1.0,1.0,0,0,1.0,1.0
200900007715,2,23,1,1,3,1.0,3.0,202,360,0,0,7,1.0,1.0,B01,1,2,1,2,5.0,1962,2009,3,2.0,2,1.0,1.0,0,80,1.0,1.0
200800034140,6,6,5,2,2,1.0,3.0,24,920,0,0,7,1.0,1.0,A01,2,2,1,1,0.0,1985,2008,3,1.0,3,1.0,1.0,0,0,1.0,1.0
200500056245,9,7,1,1,1,5.0,3.0,35,250,0,0,7,3.0,10.0,A01,2,2,1,2,0.0,1989,2005,3,2.0,0,0.0,1.0,23,69,1.0,1.0
200800058526,10,22,1,2,1,1.0,4.0,448,520,0,0,7,4.0,2.0,B01,2,2,1,2,0.0,1925,2008,4,2.0,2,1.0,1.0,0,0,0.0,1.0
201700044649,9,29,1,2,1,1.0,7.0,3,940,0,0,31,8.0,7.0,A01,1,1,1,1,1.0,1979,2017,4,1.0,2,1.0,1.0,0,0,1.0,1.0
201000017080,9,30,1,2,1,1.0,2.0,88,60,0,0,7,4.0,1.0,B01,1,1,1,2,5.0,1987,2010,4,2.0,3,2.0,1.0,0,0,1.0,1.0
200500048350,8,9,1,1,9,1.0,3.0,185,530,0,0,5,1.0,1.0,B02,1,1,1,1,5.0,1982,2005,2,2.0,2,1.0,1.0,0,0,1.0,1.0
200700067408,10,9,5,2,1,8.0,6.0,101,750,0,0,7,1.0,12.0,A01,3,2,1,2,0.0,1945,2007,4,1.0,5,1.0,1.0,0,0,2.0,1.0
201100050170,9,10,1,2,1,1.0,3.0,17,940,0,0,99,0.0,1.0,A01,1,1,1,1,9.0,1990,2011,4,0.0,1,1.0,1.0,0,0,1.0,1.0
200500029531,5,1,1,2,1,1.0,1.0,483,640,0,0,7,1.0,23.0,B01,1,1,1,1,5.0,1965,2005,3,3.0,2,1.0,1.0,0,90,1.0,1.0
201300045507,7,11,1,1,1,7.0,5.0,363,770,0,0,17,2.0,2.0,B01,1,1,1,1,4.0,1981,2013,1,3.0,4,2.0,1.0,40,140,1.0,1.0
201700040512,4,25,1,2,1,1.0,1.0,49,920,0,0,33,2.0,1.0,B01,1,1,1,1,0.0,1955,2017,3,2.0,2,1.0,1.0,0,0,2.0,1.0
201800019949,1,22,5,2,3,1.0,3.0,141,660,0,0,7,1.0,15.0,A01,1,1,1,1,2.0,1976,2018,4,2.0,2,1.0,1.0,0,0,1.0,1.0
201200011576,8,2,1,2,2,1.0,6.0,88,60,0,0,31,1.0,1.0,B01,0,3,1,2,5.0,1931,2012,4,1.0,2,1.0,1.0,0,0,1.0,1.0
201600027533,4,18,1,2,3,1.0,2.0,7,490,0,0,38,7.0,1.0,B01,1,1,1,1,4.0,1961,2016,4,2.0,2,1.0,1.0,0,70,1.0,1.0
200600056585,9,12,1,2,1,1.0,4.0,586,780,0,0,7,1.0,1.0,A01,1,1,1,2,1.0,1949,2006,4,2.0,3,1.0,1.0,0,87,1.0,0.0
201000027469,8,27,1,2,1,1.0,2.0,7,300,0,0,7,4.0,2.0,B01,1,1,1,2,5.0,1949,2010,2,2.0,2,1.0,1.0,0,87,1.0,1.0
201500033684,7,15,1,2,2,1.0,3.0,681,760,0,0,33,1.0,1.0,A01,1,1,1,1,9.0,1975,2015,4,2.0,2,1.0,1.0,0,0,1.0,1.0
201800030392,7,2,1,2,3,1.0,3.0,510,620,0,0,7,3.0,1.0,A01,5,2,1,1,5.0,1999,2018,4,2.0,2,1.0,1.0,0,0,1.0,3.0
200900066840,8,24,1,2,3,1.0,3.0,185,380,0,0,7,7.0,16.0,B01,1,1,1,1,0.0,1971,2009,4,2.0,3,1.0,1.0,0,105,1.0,1.0
201000019532,12,14,1,2,1,1.0,6.0,262,110,0,0,7,1.0,1.0,A01,0,3,1,1,5.0,1999,2010,4,2.0,2,1.0,1.0,0,70,1.0,1.0
200700019670,4,17,1,2,1,1.0,6.0,206,890,0,0,7,2.0,2.0,A01,1,1,1,2,3.0,1937,2007,3,2.0,0,0.0,1.0,0,150,1.0,1.0
201000052936,12,2,5,2,2,4.0,6.0,11,940,0,0,7,1.0,1.0,A01,1,1,1,2,5.0,1951,2010,3,2.0,2,1.0,1.0,0,0,5.0,1.0
201200022515,4,2,1,2,1,1.0,6.0,362,260,0,0,7,1.0,9.0,A01,0,3,1,2,5.0,1927,2012,4,2.0,2,1.0,1.0,0,65,1.0,1.0
200600008910,2,10,1,2,1,1.0,6.0,57,600,0,0,18,7.0,16.0,A01,1,1,1,1,4.0,1964,2006,4,1.0,1,2.0,3.0,0,100,1.0,1.0
201300010877,3,27,5,2,1,1.0,3.0,88,60,0,0,31,2.0,0.0,B01,1,1,1,1,5.0,1974,2013,4,2.0,2,1.0,1.0,0,0,1.0,1.0
201000064550,9,29,1,2,7,1.0,2.0,116,750,0,0,7,4.0,23.0,B01,1,1,1,1,1.0,1968,2010,4,1.0,0,1.0,2.0,0,0,1.0,1.0
201100018126,6,1,1,1,1,1.0,1.0,69,110,0,0,7,1.0,13.0,A01,1,1,1,1,4.0,1988,2011,3,2.0,2,2.0,2.0,0,60,1.0,1.0
201800035493,1,12,1,2,1,1.0,3.0,137,830,0,0,33,3.0,7.0,A01,2,2,1,1,4.0,1969,2018,4,2.0,3,1.0,1.0,0,100,1.0,1.0
200600020741,4,22,1,2,1,1.0,6.0,650,590,0,0,7,0.0,1.0,A01,1,1,1,1,9.0,1962,2006,4,2.0,2,1.0,1.0,0,0,1.0,1.0
201800048981,8,26,1,1,1,1.0,2.0,13,330,0,0,7,5.0,23.0,B01,1,1,1,1,5.0,1976,2018,2,3.0,6,1.0,1.0,0,0,1.0,1.0
201000011649,6,25,1,1,1,1.0,1.0,66,900,0,0,7,1.0,1.0,B02,1,1,1,2,5.0,1945,2010,3,2.0,2,1.0,1.0,0,58,1.0,1.0
201400044242,3,24,5,2,3,1.0,6.0,28,940,0,0,7,1.0,1.0,A01,1,1,1,1,9.0,1994,2014,3,2.0,4,1.0,1.0,0,120,1.0,1.0
200900015108,4,2,1,1,1,1.0,4.0,350,590,0,0,17,1.0,2.0,A01,1,1,1,1,4.0,1968,2009,1,3.0,0,0.0,0.0,20,105,1.0,1.0
200800008665,2,23,1,2,7,1.0,3.0,99,490,0,0,7,1.0,15.0,A01,1,1,1,2,5.0,1957,2008,4,2.0,2,1.0,1.0,0,0,1.0,1.0
200800009428,2,12,1,2,6,1.0,2.0,640,780,0,0,7,6.0,1.0,B01,2,2,1,2,0.0,1939,2008,3,1.0,2,1.0,1.0,0,0,1.0,0.0
200500044473,7,1,1,2,2,1.0,3.0,63,330,0,0,10,7.0,15.0,A01,1,1,1,1,9.0,1948,2005,4,2.0,3,1.0,1.0,0,90,1.0,1.0
201300039034,11,20,1,2,1,1.0,3.0,23,920,0,0,7,5.0,1.0,B01,1,1,1,1,4.0,1979,2013,4,2.0,2,1.0,1.0,0,0,1.0,1.0
200600048292,8,24,1,2,1,1.0,6.0,162,440,0,0,7,1.0,15.0,A01,1,1,1,1,5.0,1981,2006,6,0.0,0,0.0,0.0,0,0,0.0,1.0
201000042753,11,7,5,2,1,1.0,6.0,351,760,0,0,7,1.0,1.0,A01,1,1,1,1,9.0,1986,2010,6,0.0,0,1.0,1.0,0,0,2.0,0.0
200500010580,2,21,1,1,1,1.0,6.0,160,600,0,0,21,4.0,1.0,B02,1,1,1,1,4.0,1956,2005,2,2.0,0,0.0,1.0,0,70,1.0,1.0
201600033116,8,27,5,2,8,1.0,6.0,282,690,0,0,7,2.0,14.0,A01,3,2,1,1,0.0,1983,2016,4,2.0,1,1.0,3.0,0,66,1.0,1.0
201900008525,4,20,1,2,6,1.0,5.0,29019,29,0,0,7,5.0,1.0,C01,1,1,1,1,5.0,1998,2019,4,1.0,2,1.0,2.0,0,0,1.0,1.0
201700053871,9,21,2,2,2,1.0,6.0,108,750,0,0,10,1.0,1.0,A01,1,1,1,1,4.0,1981,2017,4,1.0,1,1.0,1.0,0,90,1.0,1.0
201400019493,3,4,1,2,1,1.0,6.0,15,160,0,0,7,2.0,17.0,A01,1,1,1,1,1.0,1951,2014,4,1.0,1,1.0,1.0,0,28,1.0,1.0
201900005863,7,4,1,2,1,7.0,6.0,80001,80,0,0,7,2.0,9.0,B01,1,1,1,1,4.0,2000,2019,4,2.0,2,1.0,1.0,0,0,1.0,1.0
201600034091,1,27,1,1,1,1.0,2.0,186,770,0,0,7,2.0,1.0,A01,1,1,1,1,9.0,1973,2016,3,2.0,4,1.0,1.0,0,0,1.0,1.0
200500041555,7,14,1,1,2,1.0,3.0,36,820,0,0,7,1.0,1.0,B02,1,1,1,1,5.0,1930,2005,4,2.0,0,3.0,1.0,0,38,1.0,1.0
201600043168,12,12,1,2,3,1.0,3.0,34,940,0,0,33,7.0,17.0,A01,1,1,1,1,0.0,1994,2016,4,2.0,2,2.0,1.0,0,0,1.0,1.0
